EmpId, Name Prefix, First name, Middle Initial, Last Name, Gender, email, dob, Date of joinin
EmployeeDTO{empId='225018', namePrefix='Hon.', firstName='Catrice', middleInitial='D', lastName='Needham', gender='X', email='catrice.needham@shell.com', dob='07/05/1977', dateOfJoining='10/02/2005', salary='131082'}
EmployeeDTO{empId='945178', namePrefix='Ms.', firstName='Beulah', middleInitial='J', lastName='Weeks', gender='F', email='beulah.weeks@aol.com', dob='04/05/1975', dateOfJoining='02/11/2011', salary='139978'}
EmployeeDTO{empId='741457', namePrefix='Prof.', firstName='Hank', middleInitial='H', lastName='Sauter', gender='M', email='hank.sauter@yahoo.co.uk', dob='5/25/1987', dateOfJoining='06/10/2014', salary='102928'}
EmployeeDTO{empId='576333', namePrefix='Mr.', firstName='Gregorio', middleInitial='Z', lastName='Bauman', gender='M', email='gregorio.bauman@gmail.com', dob='12/12/1970', dateOfJoining='01/09/2016', salary='188606'}
EmployeeDTO{empId='236145', namePrefix='Mr.', firstName='Solomon', middleInitial='C', lastName='Sato', gender='M', email='dorsey.minor@yahoo.co.uk', dob='7/18/1967', dateOfJoining='1/26/2008', salary='100087'}
EmployeeDTO{empId='674831', namePrefix='Mrs.', firstName='Tiffany', middleInitial='FALSE', lastName='Owensby', gender='F', email='tiffany.owensby@hotmail.com', dob='6/29/1979', dateOfJoining='10/06/2010', salary='156140'}
EmployeeDTO{empId='371411', namePrefix='Prof.', firstName='Quinton', middleInitial='N', lastName='Perri', gender='M', email='quinton.perri@shell.com', dob='06/03/1960', dateOfJoining='7/19/1995', salary='-118058'}
EmployeeDTO{empId='945178', namePrefix='Ms.', firstName='Tanja', middleInitial='A', lastName='Ralph', gender='F', email='tanja.ralph@hotmail.com', dob='6/16/1971', dateOfJoining='1/26/2011', salary='153309'}
EmployeeDTO{empId='439696', namePrefix='Mr.', firstName='Bert', middleInitial='S', lastName='Boisvert', gender='X', email='bert.boisvert@gmail.com', dob='08/11/1993', dateOfJoining='09/06/2016', salary='127898'}
EmployeeDTO{empId='571027', namePrefix='Ms.', firstName='Jamee', middleInitial='T', lastName='Stamp', gender='F', email='jamee.stamp@gmail.com', dob='10/23/1982', dateOfJoining='3/24/2007', salary='192759'}
